,City,City ID,Latitude,Longitude,Temperature,Weather Description,Humidity,Cloudiness,Wind Speed,Country
133,Grand Gaube,2002134,-20.0064,57.6608,70.37600000000009,broken clouds,74,62,8.008245200000001,MU
134,Arica,8476,-18.475,-70.3042,59.233999999999995,overcast clouds,82,90,2.3040482000000004,CL
135,Puerto Del Rosario,2371,28.5004,-13.8627,73.14800000000002,scattered clouds,83,41,2.3040482000000004,ES
136,Port Macquarie,9610,-31.4333,152.9167,55.36400000000003,overcast clouds,81,100,13.5558564,AU
137,Honningsvag,1633,70.9821,25.9704,38.73200000000001,overcast clouds,74,100,13.4440094,NO
138,Kruisfontein,2035063,-34.0033,24.7314,53.88800000000005,light rain,98,100,6.3976484000000005,ZA
139,Whitehorse,2002561,60.7161,-135.0538,43.016000000000005,light rain,87,82,5.5028724,CA
140,Henties Bay,2012545,-22.116,14.2845,53.852000000000075,few clouds,92,12,8.008245200000001,NA
141,Nome,7770,64.5011,-165.4064,48.272000000000034,light rain,87,90,4.608096400000001,US
142,Grindavik,90,63.8424,-22.4338,46.86800000000009,broken clouds,81,75,23.0181126,IS
143,Campo Grande,8347,-20.4428,-54.6464,80.15,clear sky,47,0,11.4978716,BR
144,Nanakuli,7868,21.3906,-158.1547,83.71400000000003,clear sky,52,1,10.3570322,US
145,Tacna,8476,-18.0056,-70.2483,52.7,broken clouds,83,57,2.2145706,PE
146,Karpathos,6620,35.507,27.2132,71.56400000000004,clear sky,73,0,17.2691768,GR
147,Saint George,2007591,37.1041,-113.5841,89.13200000000002,clear sky,15,1,2.9974996000000003,US
148,Kahului,18862,20.8947,-156.47,81.96800000000009,few clouds,68,17,11.6768268,US
149,Amalapuram,9225,16.5833,82.0167,84.57800000000006,moderate rain,86,100,8.299047400000001,IN
150,Qiryat Yam,6853,32.8508,35.0703,75.14600000000004,clear sky,57,0,2.3040482000000004,IL
151,Griffith,2005254,41.5284,-87.4237,73.70600000000003,clear sky,68,1,1.006623,US
152,Batemans Bay,2010627,-35.7167,150.1833,56.24600000000005,overcast clouds,54,87,12.5716028,AU
153,Esenyurt,6970,41.0333,28.6753,65.04800000000003,clear sky,88,0,3.4448876000000004,TR
154,Hervey Bay,2010900,-25.2986,152.8535,80.042,clear sky,35,0,12.840035600000002,AU
155,Ucluelet,2032726,48.9329,-125.5528,62.042,broken clouds,87,66,3.690951,CA
156,Narsaq,47,60.9167,-46.05,34.016000000000005,clear sky,60,0,3.6462122,GL
157,Marawi,2007154,7.9986,124.2928,75.65,scattered clouds,67,42,3.243563,PH
158,Tromso,1681,69.6496,18.957,41.018000000000086,broken clouds,93,75,5.7489358,NO
159,Komsomolskiy,9014,40.4272,71.7189,68.684,clear sky,32,0,6.9121446,UZ
160,Freeport,2002861,40.6576,-73.5832,70.97000000000006,moderate rain,79,75,3.4448876000000004,US
161,Portree,2030483,57.4129,-6.1942,56.858000000000004,overcast clouds,92,100,3.0869771999999998,GB
162,Maarianhamina,1347,60.0973,19.9348,44.45600000000003,clear sky,81,0,3.4448876000000004,AX
163,Timra,1767,62.487,17.3257,43.412000000000056,overcast clouds,78,100,8.052984,SE
164,Alofi,7306,-19.0595,-169.9187,82.292,light intensity drizzle,74,75,9.216192800000002,NU
165,Ankazobe,2136,-18.3167,47.1167,52.214000000000034,scattered clouds,89,42,6.3081708,MG
166,Half Moon Bay,2037640,37.4636,-122.4286,61.71800000000009,few clouds,85,20,13.8019198,US
167,Adrian,2021159,41.8975,-84.0372,67.13600000000008,clear sky,96,1,1.006623,US
168,Tomigusuku,8137,26.185,127.675,87.566,broken clouds,79,75,14.965128600000002,JP
169,Krupina,2034408,48.3554,19.0647,55.83200000000002,scattered clouds,88,50,3.4225182000000003,SK
170,Moindou,7344,-21.6924,165.677,84.14600000000004,broken clouds,62,78,4.0936002,NC
171,Porto Tolle,2009678,44.9497,12.3245,63.77000000000007,scattered clouds,65,36,5.2791784,IT
172,Kloulklubed,7901,7.0419,134.2556,82.90400000000005,overcast clouds,74,96,14.450632400000002,PW
173,Ukiah,6129,39.1502,-123.2078,76.06400000000004,clear sky,21,1,0.0,US
